split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
20,0.008595466613769531,7.843971252441406e-05,0.08837437629699707,0.00037789344787597656,1581696708.635585,1581696708.6441805,1581696708.6441846,1581696708.644263,1581696708.6442661,1581696708.7326405,1581696708.7326448,1581696708.7330227,2020-02-14 11:11:48.635585,2020-02-14 11:11:48.644182,2020-02-14 11:11:48.644184,2020-02-14 11:11:48.644263,2020-02-14 11:11:48.644266,2020-02-14 11:11:48.732642,2020-02-14 11:11:48.732645,2020-02-14 11:11:48.733024
21,0.007734775543212891,8.130073547363281e-05,0.0891263484954834,0.00037097930908203125,1581696708.733075,1581696708.7408097,1581696708.740814,1581696708.7408953,1581696708.740899,1581696708.8300254,1581696708.8300295,1581696708.8304005,2020-02-14 11:11:48.733075,2020-02-14 11:11:48.740811,2020-02-14 11:11:48.740814,2020-02-14 11:11:48.740896,2020-02-14 11:11:48.740899,2020-02-14 11:11:48.830026,2020-02-14 11:11:48.830029,2020-02-14 11:11:48.830401
22,0.008793354034423828,7.772445678710938e-05,0.08826923370361328,0.0003979206085205078,1581696708.830451,1581696708.8392444,1581696708.8392484,1581696708.8393261,1581696708.8393297,1581696708.927599,1581696708.927603,1581696708.928001,2020-02-14 11:11:48.830451,2020-02-14 11:11:48.839245,2020-02-14 11:11:48.839248,2020-02-14 11:11:48.839327,2020-02-14 11:11:48.839330,2020-02-14 11:11:48.927600,2020-02-14 11:11:48.927603,2020-02-14 11:11:48.928002
23,0.008566141128540039,9.1552734375e-05,0.08837604522705078,0.0003743171691894531,1581696708.9280512,1581696708.9366174,1581696708.9366217,1581696708.9367132,1581696708.9367168,1581696709.0250928,1581696709.025097,1581696709.0254712,2020-02-14 11:11:48.928051,2020-02-14 11:11:48.936619,2020-02-14 11:11:48.936621,2020-02-14 11:11:48.936714,2020-02-14 11:11:48.936716,2020-02-14 11:11:49.025094,2020-02-14 11:11:49.025097,2020-02-14 11:11:49.025472
24,0.008770227432250977,7.486343383789062e-05,0.08802032470703125,0.00036978721618652344,1581696709.0255225,1581696709.0342927,1581696709.034297,1581696709.0343719,1581696709.0343754,1581696709.1223958,1581696709.1224,1581696709.1227698,2020-02-14 11:11:49.025522,2020-02-14 11:11:49.034294,2020-02-14 11:11:49.034297,2020-02-14 11:11:49.034372,2020-02-14 11:11:49.034375,2020-02-14 11:11:49.122397,2020-02-14 11:11:49.122400,2020-02-14 11:11:49.122771
25,0.008574724197387695,9.131431579589844e-05,0.08828425407409668,0.0003597736358642578,1581696709.1228204,1581696709.131395,1581696709.1313992,1581696709.1314905,1581696709.1314943,1581696709.2197785,1581696709.2197826,1581696709.2201424,2020-02-14 11:11:49.122820,2020-02-14 11:11:49.131396,2020-02-14 11:11:49.131399,2020-02-14 11:11:49.131491,2020-02-14 11:11:49.131494,2020-02-14 11:11:49.219780,2020-02-14 11:11:49.219783,2020-02-14 11:11:49.220143
26,0.008751153945922852,7.772445678710938e-05,0.088165283203125,0.0003726482391357422,1581696709.2201936,1581696709.2289448,1581696709.2289493,1581696709.229027,1581696709.2290306,1581696709.317196,1581696709.3172,1581696709.3175726,2020-02-14 11:11:49.220194,2020-02-14 11:11:49.228946,2020-02-14 11:11:49.228949,2020-02-14 11:11:49.229028,2020-02-14 11:11:49.229030,2020-02-14 11:11:49.317197,2020-02-14 11:11:49.317200,2020-02-14 11:11:49.317573
27,0.008730411529541016,7.724761962890625e-05,0.08662199974060059,0.0003554821014404297,1581696709.3176596,1581696709.32639,1581696709.3263943,1581696709.3264716,1581696709.3264754,1581696709.4130974,1581696709.4131017,1581696709.4134572,2020-02-14 11:11:49.317660,2020-02-14 11:11:49.326391,2020-02-14 11:11:49.326394,2020-02-14 11:11:49.326472,2020-02-14 11:11:49.326475,2020-02-14 11:11:49.413099,2020-02-14 11:11:49.413101,2020-02-14 11:11:49.413458
28,0.008613348007202148,7.677078247070312e-05,0.0860893726348877,0.0003790855407714844,1581696709.4135094,1581696709.4221227,1581696709.4221268,1581696709.4222035,1581696709.4222069,1581696709.5082963,1581696709.5083005,1581696709.5086796,2020-02-14 11:11:49.413509,2020-02-14 11:11:49.422124,2020-02-14 11:11:49.422127,2020-02-14 11:11:49.422204,2020-02-14 11:11:49.422207,2020-02-14 11:11:49.508297,2020-02-14 11:11:49.508300,2020-02-14 11:11:49.508680
29,0.008594274520874023,7.748603820800781e-05,0.08638596534729004,0.000362396240234375,1581696709.5087388,1581696709.517333,1581696709.5173373,1581696709.5174148,1581696709.5174181,1581696709.603804,1581696709.6038082,1581696709.6041706,2020-02-14 11:11:49.508739,2020-02-14 11:11:49.517334,2020-02-14 11:11:49.517337,2020-02-14 11:11:49.517415,2020-02-14 11:11:49.517418,2020-02-14 11:11:49.603805,2020-02-14 11:11:49.603808,2020-02-14 11:11:49.604171
