split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
20,0.00762939453125,6.937980651855469e-05,0.0092926025390625,0.0001304149627685547,1581696745.5782263,1581696745.5858557,1581696745.58586,1581696745.5859294,1581696745.585933,1581696745.5952256,1581696745.5952299,1581696745.5953603,2020-02-14 11:12:25.578226,2020-02-14 11:12:25.585857,2020-02-14 11:12:25.585860,2020-02-14 11:12:25.585930,2020-02-14 11:12:25.585933,2020-02-14 11:12:25.595227,2020-02-14 11:12:25.595230,2020-02-14 11:12:25.595361
21,0.007651805877685547,6.914138793945312e-05,0.009313344955444336,0.00013136863708496094,1581696745.5954113,1581696745.603063,1581696745.6030674,1581696745.6031365,1581696745.6031399,1581696745.6124532,1581696745.6124575,1581696745.612589,2020-02-14 11:12:25.595411,2020-02-14 11:12:25.603064,2020-02-14 11:12:25.603067,2020-02-14 11:12:25.603137,2020-02-14 11:12:25.603140,2020-02-14 11:12:25.612454,2020-02-14 11:12:25.612457,2020-02-14 11:12:25.612590
22,0.007624149322509766,6.961822509765625e-05,0.009295463562011719,0.0001392364501953125,1581696745.6126406,1581696745.6202648,1581696745.6202688,1581696745.6203384,1581696745.6203415,1581696745.629637,1581696745.6296413,1581696745.6297805,2020-02-14 11:12:25.612640,2020-02-14 11:12:25.620266,2020-02-14 11:12:25.620269,2020-02-14 11:12:25.620339,2020-02-14 11:12:25.620341,2020-02-14 11:12:25.629638,2020-02-14 11:12:25.629641,2020-02-14 11:12:25.629781
23,0.0075914859771728516,6.937980651855469e-05,0.009310245513916016,0.00013113021850585938,1581696745.6298327,1581696745.6374242,1581696745.6374283,1581696745.6374977,1581696745.6375012,1581696745.6468115,1581696745.6468155,1581696745.6469467,2020-02-14 11:12:25.629833,2020-02-14 11:12:25.637425,2020-02-14 11:12:25.637428,2020-02-14 11:12:25.637498,2020-02-14 11:12:25.637501,2020-02-14 11:12:25.646813,2020-02-14 11:12:25.646815,2020-02-14 11:12:25.646947
24,0.007707357406616211,6.914138793945312e-05,0.009292125701904297,0.00012993812561035156,1581696745.6471803,1581696745.6548877,1581696745.654892,1581696745.654961,1581696745.6549647,1581696745.6642568,1581696745.6642609,1581696745.6643908,2020-02-14 11:12:25.647181,2020-02-14 11:12:25.654889,2020-02-14 11:12:25.654892,2020-02-14 11:12:25.654962,2020-02-14 11:12:25.654964,2020-02-14 11:12:25.664258,2020-02-14 11:12:25.664261,2020-02-14 11:12:25.664392
25,0.0076220035552978516,6.985664367675781e-05,0.009302139282226562,0.0001308917999267578,1581696745.6644425,1581696745.6720645,1581696745.6720686,1581696745.6721385,1581696745.6721423,1581696745.6814444,1581696745.6814485,1581696745.6815794,2020-02-14 11:12:25.664443,2020-02-14 11:12:25.672066,2020-02-14 11:12:25.672068,2020-02-14 11:12:25.672139,2020-02-14 11:12:25.672142,2020-02-14 11:12:25.681445,2020-02-14 11:12:25.681448,2020-02-14 11:12:25.681580
26,0.00761866569519043,6.914138793945312e-05,0.009302377700805664,0.0001366138458251953,1581696745.6816297,1581696745.6892483,1581696745.6892524,1581696745.6893215,1581696745.689325,1581696745.6986275,1581696745.6986318,1581696745.6987684,2020-02-14 11:12:25.681630,2020-02-14 11:12:25.689249,2020-02-14 11:12:25.689252,2020-02-14 11:12:25.689322,2020-02-14 11:12:25.689325,2020-02-14 11:12:25.698629,2020-02-14 11:12:25.698632,2020-02-14 11:12:25.698769
27,0.007612466812133789,6.937980651855469e-05,0.00930023193359375,0.00013113021850585938,1581696745.6988196,1581696745.706432,1581696745.7064362,1581696745.7065055,1581696745.706509,1581696745.7158093,1581696745.7158134,1581696745.7159445,2020-02-14 11:12:25.698820,2020-02-14 11:12:25.706433,2020-02-14 11:12:25.706436,2020-02-14 11:12:25.706506,2020-02-14 11:12:25.706509,2020-02-14 11:12:25.715810,2020-02-14 11:12:25.715813,2020-02-14 11:12:25.715945
28,0.007608652114868164,7.104873657226562e-05,0.009296417236328125,0.00012993812561035156,1581696745.7159963,1581696745.723605,1581696745.723609,1581696745.72368,1581696745.7236836,1581696745.73298,1581696745.732984,1581696745.733114,2020-02-14 11:12:25.715996,2020-02-14 11:12:25.723606,2020-02-14 11:12:25.723609,2020-02-14 11:12:25.723681,2020-02-14 11:12:25.723683,2020-02-14 11:12:25.732981,2020-02-14 11:12:25.732984,2020-02-14 11:12:25.733115
30,0.0076160430908203125,7.009506225585938e-05,0.009273529052734375,0.00012969970703125,1581696745.733165,1581696745.740781,1581696745.7407851,1581696745.7408552,1581696745.7408657,1581696745.7501392,1581696745.7501407,1581696745.7502704,2020-02-14 11:12:25.733165,2020-02-14 11:12:25.740782,2020-02-14 11:12:25.740785,2020-02-14 11:12:25.740856,2020-02-14 11:12:25.750136,2020-02-14 11:12:25.750139,2020-02-14 11:12:25.750140,2020-02-14 11:12:25.750271
